uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
0,CC(=Cc1ccnc(C)c1)c1c(C)c(C)nc(C)c1C,Cc1cc(C)c(C)nc1C.Cc1ccccn1,C=CC,3,14,54.68131808790621
1,CC(=Cc1ccnc(C)c1)c1c(C)c(C)nc(C)c1C,Cc1cc(C)c(C)nc1C.Cc1ccccn1,C=CC,3,14,54.68131820356703
2,CC(=Cc1ccnc(C)c1)c1c(C)c(C)nc(C)c1C,Cc1cc(C)c(C)nc1C.Cc1ccccn1,C=CC,3,14,56.904975264461434
3,CC(=Cc1ccnc(C)c1)c1c(C)c(C)nc(C)c1C,Cc1cc(C)c(C)nc1C.Cc1ccccn1,C=CC,3,14,56.90497526971198
4,CC(=Cc1ccnc(C)c1)c1c(C)c(C)nc(C)c1C,Cc1cc(C)c(C)nc1C.Cc1ccccn1,C=CC,3,14,56.99280061389238
5,CC(=Cc1ccnc(C)c1)c1c(C)c(C)nc(C)c1C,Cc1cc(C)c(C)nc1C.Cc1ccccn1,C=CC,3,14,57.01905658352594
6,CC(=Cc1ccnc(C)c1)c1c(C)c(C)nc(C)c1C,Cc1cc(C)c(C)nc1C.Cc1ccccn1,C=CC,3,14,57.01905668787206
7,CC(=Cc1ccnc(C)c1)c1c(C)c(C)nc(C)c1C,Cc1cc(C)c(C)nc1C.Cc1ccccn1,C=CC,3,14,57.114032744709135
8,CC(=Cc1ccnc(C)c1)c1c(C)c(C)nc(C)c1C,Cc1cc(C)c(C)nc1C.Cc1ccccn1,C=CC,3,14,57.11403275305657
9,CC(=Cc1ccnc(C)c1)c1c(C)c(C)nc(C)c1C,Cc1cc(C)c(C)nc1C.Cc1ccccn1,C=CC,3,14,57.11403277369767
10,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1F,c1nncnn1,7,18,49.03557262678692
11,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1F,c1nncnn1,7,18,49.11763679415843
12,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1F,c1nncnn1,7,18,49.117636960899034
13,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1F,c1nncnn1,7,18,49.118027157900784
14,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1F,c1nncnn1,7,18,49.118051224362375
15,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1F,c1nncnn1,7,18,49.11805125230588
16,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1F,c1nncnn1,7,18,49.200089825367755
17,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1F,c1nncnn1,7,18,49.20008982953719
18,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1F,c1nncnn1,7,18,49.20011543740759
19,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1F,c1nncnn1,7,18,49.20011544786124
20,Cc1cc(-c2cc(C(=O)[O-])c(C)c(C(=O)[O-])c2C)c(C)c(C)c1-c1cc(C(=O)[O-])c(C)c(C(=O)[O-])c1,Cc1c(C(=O)[O-])cccc1C(=O)[O-].Cc1ccc(C(=O)[O-])c(C)c1C(=O)[O-],Cc1ccc(C)c(C)c1,7,20,107.41288895637729
