MOF_name,CO2_capacity
N-ZnZn-L-mol_117_16_n_atoms_n_atoms_8-L-mol_133_13_n_atoms_n_atoms_10-L-mol_7_19_n_atoms_n_atoms_9_cat2,2.509165067
N-ZnZn-L-mol_68_2_n_atoms_n_atoms_8-L-mol_82_0_n_atoms_n_atoms_6-L-mol_148_15_n_atoms_n_atoms_10_cat2,2.489302067
N-ZnZn-L-mol_134_15_n_atoms_n_atoms_6-L-mol_80_5_n_atoms_n_atoms_10-L-mol_118_15_n_atoms_n_atoms_7_cat2,2.4827404
N-ZnOZnZnZn-L-mol_132_0_n_atoms_n_atoms_9-L-mol_153_18_n_atoms_n_atoms_5-L-mol_182_14_n_atoms_n_atoms_8_cat3,2.437629867
N-ZnOZnZnZn-L-mol_117_14_n_atoms_n_atoms_6-L-mol_144_17_n_atoms_n_atoms_9-L-mol_61_13_n_atoms_n_atoms_5_cat3,2.433065567
N-ZnOZnZnZn-L-mol_124_18_n_atoms_n_atoms_9-L-mol_132_10_n_atoms_n_atoms_5-L-mol_141_18_n_atoms_n_atoms_8_cat3,2.3273059
N-ZnOZnZnZn-L-mol_114_8_n_atoms_n_atoms_6-L-mol_117_10_n_atoms_n_atoms_10-L-mol_169_5_n_atoms_n_atoms_6_cat3,2.309478933
N-ZnOZnZnZn-L-mol_107_13_n_atoms_n_atoms_9-L-mol_147_4_n_atoms_n_atoms_5-L-mol_86_7_n_atoms_n_atoms_6_cat3,2.261841467
N-ZnZn-L-mol_113_9_n_atoms_n_atoms_6-L-mol_41_0_n_atoms_n_atoms_10-L-mol_7_1_n_atoms_n_atoms_7_cat2,2.231493333
N-ZnOZnZnZn-L-mol_104_0_n_atoms_n_atoms_9-L-mol_17_6_n_atoms_n_atoms_6-L-mol_35_19_n_atoms_n_atoms_6_cat3,2.140172533
N-ZnOZnZnZn-L-mol_12_6_n_atoms_n_atoms_9-L-mol_40_17_n_atoms_n_atoms_5-L-mol_93_7_n_atoms_n_atoms_7_cat2,2.1311056
N-ZnZn-L-mol_113_4_n_atoms_n_atoms_7-L-mol_41_3_n_atoms_n_atoms_10-L-mol_7_19_n_atoms_n_atoms_6_cat2,2.1209895
N-ZnZn-L-mol_117_3_n_atoms_n_atoms_5-L-mol_72_15_n_atoms_n_atoms_8-L-mol_116_0_n_atoms_n_atoms_6_cat2,2.098061067
N-ZnOZnZnZn-L-mol_44_8_n_atoms_n_atoms_9-L-mol_57_13_n_atoms_n_atoms_6-L-mol_89_6_n_atoms_n_atoms_7_cat3,2.093502533
N-ZnOZnZnZn-L-mol_138_11_n_atoms_n_atoms_7-L-mol_57_17_n_atoms_n_atoms_10-L-mol_57_1_n_atoms_n_atoms_8_cat3,2.077168267
N-ZnOZnZnZn-L-mol_20_10_n_atoms_n_atoms_6-L-mol_31_16_n_atoms_n_atoms_5-L-mol_89_14_n_atoms_n_atoms_10_cat3,2.073064567
N-CuCu-L-mol_144_7_n_atoms_n_atoms_8-L-mol_33_9_n_atoms_n_atoms_6-L-mol_60_17_n_atoms_n_atoms_8_cat2,2.043886033
N-CuCu-L-mol_14_5_n_atoms_n_atoms_7-L-mol_169_6_n_atoms_n_atoms_8-L-mol_25_2_n_atoms_n_atoms_5_cat2,2.021638133
